Rk,School,G,Tm.,Opp.,PPG,OPPG,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,STL/TOV,PF,PFPG,FT/FGA,FGPG,FGAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,TRBPG,APG,SPG,BPG,TOPG,AST/TO,3P Ratio,NET
26,Boise State,33,2364,2263,71.63636364,68.57575758,845,1801,0.469,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,0.527704485,569,17.24242424,0.23431427,25.60606061,54.57575758,7.636363636,21.66666667,12.78787879,17.6969697,7.333333333,30.78787879,12.06060606,6.060606061,2.060606061,11.48484848,1.050131926,0.298224852,0.575498575
27,Boston College,31,2196,2256,70.83870968,72.77419355,768,1808,0.425,218,687,0.317,442,633,0.698,331,1137,382,159,103,378,0.420634921,509,16.41935484,0.244469027,24.77419355,58.32258065,7.032258065,22.16129032,14.25806452,20.41935484,10.67741935,36.67741935,12.32258065,5.129032258,3.322580645,12.19354839,1.010582011,0.283854167,0.612535613
28,Boston University,33,2385,2387,72.27272727,72.33333333,922,1922,0.48,221,639,0.346,320,468,0.684,311,1091,447,199,73,425,0.468235294,578,17.51515152,0.166493236,27.93939394,58.24242424,6.696969697,19.36363636,9.696969697,14.18181818,9.424242424,33.06060606,13.54545455,6.03030303,2.212121212,12.87878788,1.051764706,0.239696312,0.35042735
29,Bowling Green State,34,2668,2496,78.47058824,73.41176471,945,2134,0.443,272,762,0.357,506,755,0.67,408,1396,427,227,90,412,0.550970874,595,17.5,0.237113402,27.79411765,62.76470588,8,22.41176471,14.88235294,22.20588235,12,41.05882353,12.55882353,6.676470588,2.647058824,12.11764706,1.036407767,0.287830688,0.666666667
30,Bradley,34,2264,2209,66.58823529,64.97058824,790,1822,0.434,231,632,0.366,453,654,0.693,311,1169,410,183,128,430,0.425581395,595,17.5,0.248627881,23.23529412,53.58823529,6.794117647,18.58823529,13.32352941,19.23529412,9.147058824,34.38235294,12.05882353,5.382352941,3.764705882,12.64705882,0.953488372,0.292405063,0.498575499
31,Brigham Young,32,2527,2436,78.96875,76.125,878,1877,0.468,226,684,0.33,545,750,0.727,263,1116,482,203,107,354,0.573446328,626,19.5625,0.290356953,27.4375,58.65625,7.0625,21.375,17.03125,23.4375,8.21875,34.875,15.0625,6.34375,3.34375,11.0625,1.361581921,0.257403189,0.757834758
32,Brown,30,2209,2045,73.63333333,68.16666667,759,1714,0.443,231,685,0.337,460,649,0.709,255,1099,385,229,114,427,0.536299766,565,18.83333333,0.268378063,25.3,57.13333333,7.7,22.83333333,15.33333333,21.63333333,8.5,36.63333333,12.83333333,7.633333333,3.8,14.23333333,0.901639344,0.304347826,0.586894587
33,Bryant,30,2088,2314,69.6,77.13333333,709,1680,0.422,230,708,0.325,440,618,0.712,285,969,319,158,79,383,0.412532637,575,19.16666667,0.261904762,23.63333333,56,7.666666667,23.6,14.66666667,20.6,9.5,32.3,10.63333333,5.266666667,2.633333333,12.76666667,0.832898172,0.324400564,0.082621083
34,Bucknell,33,2534,2418,76.78787879,73.27272727,867,1928,0.45,311,885,0.351,489,653,0.749,286,1154,519,173,116,409,0.422982885,627,19,0.253630705,26.27272727,58.42424242,9.424242424,26.81818182,14.81818182,19.78787879,8.666666667,34.96969697,15.72727273,5.242424242,3.515151515,12.39393939,1.268948655,0.358708189,0.566951567
35,Buffalo,34,2888,2398,84.94117647,70.52941176,1033,2232,0.463,325,968,0.336,497,719,0.691,428,1395,573,249,138,402,0.619402985,617,18.14705882,0.222670251,30.38235294,65.64705882,9.558823529,28.47058824,14.61764706,21.14705882,12.58823529,41.02941176,16.85294118,7.323529412,4.058823529,11.82352941,1.425373134,0.314617619,0.957264957
36,Butler,32,2298,2257,71.8125,70.53125,835,1877,0.445,280,799,0.35,348,472,0.737,280,1032,418,188,61,351,0.535612536,570,17.8125,0.185402238,26.09375,58.65625,8.75,24.96875,10.875,14.75,8.75,32.25,13.0625,5.875,1.90625,10.96875,1.190883191,0.335329341,0.817663818
37,Cal Poly,29,1930,2183,66.55172414,75.27586207,706,1715,0.412,225,687,0.328,293,452,0.648,284,975,301,147,99,334,0.44011976,544,18.75862069,0.170845481,24.34482759,59.13793103,7.75862069,23.68965517,10.10344828,15.5862069,9.793103448,33.62068966,10.37931034,5.068965517,3.413793103,11.51724138,0.901197605,0.318696884,0.054131054
38,Cal State Bakersfield,31,2211,2207,71.32258065,71.19354839,811,1896,0.428,212,638,0.332,377,565,0.667,446,1155,359,205,98,410,0.5,684,22.06451613,0.198839662,26.16129032,61.16129032,6.838709677,20.58064516,12.16129032,18.22580645,14.38709677,37.25806452,11.58064516,6.612903226,3.161290323,13.22580645,0.875609756,0.261405672,0.378917379
39,Cal State Fullerton,33,2379,2348,72.09090909,71.15151515,850,1861,0.457,182,570,0.319,497,707,0.703,271,1187,397,195,112,437,0.446224256,617,18.6969697,0.26706072,25.75757576,56.39393939,5.515151515,17.27272727,15.06060606,21.42424242,8.212121212,35.96969697,12.03030303,5.909090909,3.393939394,13.24242424,0.908466819,0.214117647,0.43019943
40,Cal State Northridge,33,2517,2609,76.27272727,79.06060606,936,2026,0.462,227,621,0.366,418,656,0.637,338,1180,491,209,151,403,0.518610422,616,18.66666667,0.206317868,28.36363636,61.39393939,6.878787879,18.81818182,12.66666667,19.87878788,10.24242424,35.75757576,14.87878788,6.333333333,4.575757576,12.21212121,1.218362283,0.242521368,0.222222222
41,California Baptist,30,2348,2185,78.26666667,72.83333333,816,1813,0.45,280,779,0.359,436,557,0.783,298,1131,339,146,82,364,0.401098901,610,20.33333333,0.240485383,27.2,60.43333333,9.333333333,25.96666667,14.53333333,18.56666667,9.933333333,37.7,11.3,4.866666667,2.733333333,12.13333333,0.931318681,0.343137255,0.52991453
42,UC-Davis,31,2038,2128,65.74193548,68.64516129,735,1673,0.439,203,619,0.328,365,515,0.709,218,928,375,196,71,412,0.475728155,596,19.22580645,0.21817095,23.70967742,53.96774194,6.548387097,19.96774194,11.77419355,16.61290323,7.032258065,29.93548387,12.09677419,6.322580645,2.290322581,13.29032258,0.910194175,0.276190476,0.296296296
43,UC-Irvine,35,2551,2216,72.88571429,63.31428571,945,2058,0.459,238,660,0.361,423,608,0.696,412,1404,463,199,148,412,0.483009709,648,18.51428571,0.205539359,27,58.8,6.8,18.85714286,12.08571429,17.37142857,11.77142857,40.11428571,13.22857143,5.685714286,4.228571429,11.77142857,1.123786408,0.251851852,0.806267806
44,UC-Riverside,33,2153,2279,65.24242424,69.06060606,793,1787,0.444,279,741,0.377,288,421,0.684,281,1051,426,164,60,425,0.385882353,561,17,0.161163962,24.03030303,54.15151515,8.454545455,22.45454545,8.727272727,12.75757576,8.515151515,31.84848485,12.90909091,4.96969697,1.818181818,12.87878788,1.002352941,0.351828499,0.105413105
45,UC-Santa Barbara,32,2350,2114,73.4375,66.0625,825,1818,0.454,204,594,0.343,496,693,0.716,379,1204,431,159,106,355,0.447887324,559,17.46875,0.272827283,25.78125,56.8125,6.375,18.5625,15.5,21.65625,11.84375,37.625,13.46875,4.96875,3.3125,11.09375,1.214084507,0.247272727,0.532763533
46,University of California,31,2121,2387,68.41935484,77,739,1735,0.426,207,592,0.35,436,603,0.723,249,899,335,227,98,352,0.644886364,573,18.48387097,0.25129683,23.83870968,55.96774194,6.677419355,19.09677419,14.06451613,19.4516129,8.032258065,29,10.80645161,7.322580645,3.161290323,11.35483871,0.951704545,0.280108254,0.347578348
47,Campbell,32,2426,2244,75.8125,70.125,840,1843,0.456,307,892,0.344,439,580,0.757,260,1023,469,209,103,325,0.643076923,510,15.9375,0.238198589,26.25,57.59375,9.59375,27.875,13.71875,18.125,8.125,31.96875,14.65625,6.53125,3.21875,10.15625,1.443076923,0.36547619,0.364672365
48,Canisius,32,2250,2376,70.3125,74.25,798,1834,0.435,256,791,0.324,398,575,0.692,300,1026,466,204,108,412,0.495145631,626,19.5625,0.217011996,24.9375,57.3125,8,24.71875,12.4375,17.96875,9.375,32.0625,14.5625,6.375,3.375,12.875,1.131067961,0.320802005,0.196581197
49,Central Arkansas,33,2383,2498,72.21212121,75.6969697,810,1903,0.426,276,784,0.352,487,667,0.73,299,1164,463,202,120,478,0.422594142,611,18.51515152,0.255911718,24.54545455,57.66666667,8.363636364,23.75757576,14.75757576,20.21212121,9.060606061,35.27272727,14.03030303,6.121212121,3.636363636,14.48484848,0.968619247,0.340740741,0.153846154
50,Central Connecticut State,31,2205,2367,71.12903226,76.35483871,754,1821,0.414,201,612,0.328,496,634,0.782,332,1107,353,172,110,427,0.402810304,598,19.29032258,0.272377814,24.32258065,58.74193548,6.483870968,19.74193548,16,20.4516129,10.70967742,35.70967742,11.38709677,5.548387097,3.548387097,13.77419355,0.826697892,0.266578249,0.111111111
